,pandemic_infected,pandemic_recovered,pandemic_susceptible
217,0.00553875,0.39977375,0.56061375
218,0.00516375,0.40205250000000003,0.55985625
219,0.00489,0.40421999999999997,0.55914625
220,0.00460875,0.406185,0.55847125
221,0.0043725000000000005,0.40818499999999996,0.55783375
222,0.00414625,0.40999875,0.5572550000000001
223,0.0039425,0.41171,0.55664875
224,0.0037225,0.41343375,0.55609
225,0.00355375,0.41493125,0.5555625
226,0.003315,0.41649625,0.55509625
227,0.00318125,0.4179325,0.55462875
228,0.00304125,0.41926499999999994,0.5541725000000001
229,0.00296,0.42055625,0.55369875
230,0.0027975,0.42179125,0.5532925
231,0.0026075,0.4229375,0.55293
232,0.00247125,0.42408125,0.55254625
233,0.00231875,0.42518500000000004,0.55222125
234,0.00217,0.42616375,0.55188
235,0.00211875,0.42709625,0.55154875
236,0.00204875,0.42805249999999995,0.55122125
237,0.0019475000000000002,0.42891999999999997,0.5509225
238,0.00180125,0.4298,0.55069875
239,0.0017,0.43060625,0.5504475000000001
240,0.0016,0.4314,0.5502199999999999
241,0.001475,0.43217749999999994,0.5500025
242,0.00136875,0.43288125,0.54981
243,0.0013050000000000002,0.43349,0.54962125
244,0.0012775,0.43412875,0.5494275
245,0.00124,0.43475875,0.549235
246,0.00119375,0.43532,0.54905875
247,0.0011300000000000001,0.435855,0.5489
248,0.00106,0.4363275,0.54873625
249,0.0010125,0.43683,0.5485875
250,0.000965,0.43724375,0.5484425
251,0.00088625,0.43771375,0.548285
252,0.00083875,0.43814,0.54813375
253,0.00082125,0.43856625,0.54798625
254,0.0008025,0.43895249999999997,0.547855
255,0.00077125,0.43929125,0.5477525
256,0.000745,0.4396175,0.54763375
257,0.00074125,0.439975,0.5475
258,0.0006900000000000001,0.44028375,0.54737875
259,0.0006450000000000001,0.44058875,0.54729125
260,0.00061125,0.44086000000000003,0.5472100000000001
261,0.00056625,0.4411475,0.54713125
262,0.00052875,0.44142375,0.54705125
263,0.0005275000000000001,0.44164625,0.54695375
264,0.00050875,0.441895,0.5468625
265,0.00051875,0.44211000000000006,0.546775
266,0.00048875,0.44233,0.5467075
267,0.00048375,0.442525,0.5466300000000001
268,0.00044625,0.44272125,0.546565
269,0.00042625,0.44292625,0.5464925
270,0.00040875,0.4431125,0.54643625
