,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
817,20.0,37.0
818,24.0,52.0
819,17.0,43.0
820,14.0,44.0
821,21.0,44.0
822,16.0,54.0
823,24.0,43.0
824,16.0,48.0
825,21.0,52.0
826,10.0,44.0
827,21.0,55.0
828,16.0,46.0
829,25.0,41.0
830,15.0,47.0
831,25.0,56.0
832,21.0,45.0
833,14.0,44.0
834,14.0,53.0
835,20.0,44.0
836,14.0,47.0
837,16.0,64.0
838,20.0,48.0
839,32.0,50.0
840,14.0,45.0
841,17.0,45.0
842,18.0,44.0
843,17.0,44.0
844,18.0,46.0
845,15.0,44.0
846,23.0,49.0
847,14.0,44.0
848,17.0,54.0
849,30.0,40.0
850,18.0,47.0
851,13.0,38.0
852,21.0,51.0
853,23.0,50.0
854,21.0,36.0
855,26.0,40.0
856,20.0,38.0
857,20.0,56.0
858,25.0,41.0
859,20.0,45.0
860,18.0,44.0
861,21.0,58.0
862,19.0,38.0
863,22.0,41.0
864,19.0,45.0
865,22.0,49.0
866,23.0,43.0
867,17.0,55.0
868,19.0,40.0
869,15.0,46.0
870,24.0,40.0
871,22.0,45.0
872,19.0,54.0
873,17.0,46.0
874,23.0,45.0
875,8.0,48.0
876,18.0,55.0
877,24.0,43.0
878,19.0,56.0
879,21.0,51.0
880,25.0,50.0
881,22.0,39.0
882,19.0,32.0
883,21.0,53.0
884,11.0,46.0
885,31.0,55.0
886,22.0,51.0
887,21.0,38.0
888,19.0,46.0
889,19.0,42.0
890,16.0,64.0
891,17.0,40.0
892,12.0,43.0
893,20.0,58.0
894,16.0,52.0
895,12.0,59.0
896,24.0,42.0
897,18.0,41.0
898,22.0,41.0
899,13.0,41.0
900,16.0,39.0
901,16.0,48.0
902,15.0,53.0
903,15.0,52.0
904,20.0,49.0
905,16.0,41.0
906,20.0,39.0
907,22.0,51.0
908,13.0,48.0
909,16.0,47.0
910,27.0,55.0
911,21.0,72.0
912,23.0,52.0
913,25.0,44.0
914,19.0,51.0
915,27.0,49.0
916,20.0,39.0
917,24.0,34.0
918,23.0,49.0
919,20.0,44.0
920,12.0,61.0
921,22.0,43.0
