,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-cat_face,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes
182,3.0,10.0,11.0,8.0,8.0,10.0,6.0,11.0,16.0
183,4.0,12.0,11.0,15.0,14.0,4.0,11.0,14.0,20.0
184,2.0,15.0,14.0,9.0,6.0,1.0,6.0,11.0,23.0
185,5.0,5.0,8.0,8.0,7.0,8.0,5.0,8.0,14.0
186,5.0,12.0,9.0,14.0,11.0,15.0,6.0,5.0,20.0
187,4.0,19.0,10.0,11.0,5.0,3.0,1.0,7.0,20.0
188,7.0,14.0,11.0,12.0,9.0,6.0,3.0,10.0,15.0
189,1.0,10.0,22.0,15.0,7.0,7.0,8.0,8.0,17.0
190,1.0,11.0,16.0,18.0,8.0,6.0,3.0,3.0,21.0
191,5.0,8.0,7.0,17.0,8.0,8.0,2.0,5.0,24.0
192,2.0,13.0,14.0,10.0,12.0,4.0,3.0,5.0,30.0
193,2.0,16.0,18.0,16.0,5.0,5.0,8.0,5.0,12.0
194,3.0,8.0,17.0,18.0,3.0,8.0,3.0,14.0,22.0
195,4.0,12.0,19.0,14.0,11.0,10.0,5.0,12.0,17.0
196,1.0,12.0,12.0,10.0,8.0,3.0,7.0,5.0,17.0
197,3.0,10.0,21.0,10.0,13.0,10.0,5.0,10.0,16.0
198,3.0,7.0,15.0,16.0,12.0,11.0,5.0,10.0,21.0
199,2.0,14.0,16.0,12.0,10.0,10.0,6.0,7.0,22.0
200,4.0,6.0,15.0,10.0,8.0,9.0,10.0,3.0,17.0
201,3.0,16.0,21.0,25.0,5.0,7.0,2.0,12.0,19.0
202,2.0,6.0,8.0,19.0,9.0,8.0,7.0,9.0,19.0
203,1.0,11.0,6.0,11.0,11.0,9.0,9.0,6.0,14.0
204,0.0,11.0,9.0,12.0,8.0,3.0,5.0,10.0,11.0
205,4.0,21.0,13.0,10.0,5.0,10.0,8.0,4.0,13.0
206,1.0,9.0,20.0,13.0,6.0,7.0,2.0,6.0,24.0
207,3.0,10.0,17.0,9.0,9.0,8.0,4.0,8.0,22.0
208,3.0,9.0,16.0,19.0,7.0,6.0,3.0,7.0,17.0
209,4.0,14.0,10.0,13.0,12.0,4.0,1.0,7.0,21.0
210,3.0,12.0,7.0,12.0,6.0,7.0,3.0,10.0,25.0
211,4.0,10.0,15.0,14.0,8.0,15.0,18.0,6.0,22.0
212,4.0,15.0,14.0,16.0,6.0,5.0,7.0,7.0,25.0
213,1.0,11.0,15.0,11.0,11.0,8.0,7.0,6.0,14.0
214,4.0,21.0,20.0,20.0,11.0,5.0,5.0,9.0,16.0
215,8.0,9.0,19.0,18.0,8.0,11.0,6.0,19.0,13.0
216,6.0,6.0,13.0,14.0,8.0,6.0,4.0,4.0,22.0
217,2.0,11.0,10.0,17.0,5.0,13.0,5.0,8.0,25.0
218,2.0,14.0,19.0,16.0,10.0,8.0,3.0,12.0,23.0
219,3.0,16.0,20.0,17.0,8.0,4.0,9.0,12.0,11.0
220,6.0,14.0,11.0,11.0,9.0,4.0,7.0,8.0,24.0
221,3.0,8.0,10.0,13.0,10.0,10.0,6.0,3.0,21.0
222,5.0,18.0,18.0,5.0,8.0,7.0,7.0,10.0,21.0
223,6.0,15.0,14.0,14.0,9.0,7.0,6.0,12.0,12.0
224,5.0,11.0,17.0,16.0,7.0,6.0,3.0,8.0,28.0
225,1.0,13.0,12.0,13.0,9.0,11.0,6.0,10.0,23.0
226,2.0,13.0,13.0,18.0,5.0,8.0,7.0,9.0,25.0
227,1.0,16.0,21.0,15.0,9.0,10.0,3.0,10.0,32.0
228,5.0,21.0,16.0,12.0,11.0,5.0,7.0,7.0,29.0
229,3.0,18.0,16.0,14.0,9.0,4.0,9.0,8.0,19.0
230,3.0,15.0,16.0,6.0,3.0,3.0,4.0,10.0,20.0
231,3.0,15.0,18.0,10.0,6.0,3.0,7.0,9.0,13.0
232,3.0,18.0,15.0,12.0,6.0,4.0,4.0,10.0,28.0
233,2.0,17.0,12.0,15.0,13.0,7.0,6.0,6.0,32.0
234,5.0,20.0,15.0,16.0,8.0,15.0,6.0,6.0,27.0
235,1.0,9.0,23.0,16.0,13.0,7.0,5.0,11.0,25.0
236,4.0,14.0,10.0,15.0,11.0,5.0,8.0,9.0,23.0
237,6.0,12.0,19.0,12.0,7.0,8.0,7.0,4.0,23.0
238,3.0,9.0,19.0,16.0,9.0,12.0,10.0,8.0,18.0
239,1.0,10.0,9.0,11.0,7.0,8.0,7.0,11.0,26.0
240,2.0,14.0,16.0,22.0,10.0,7.0,4.0,5.0,20.0
241,3.0,10.0,10.0,14.0,8.0,4.0,12.0,7.0,28.0
242,5.0,12.0,11.0,15.0,6.0,8.0,6.0,10.0,19.0
243,4.0,8.0,19.0,14.0,10.0,10.0,3.0,9.0,27.0
244,2.0,8.0,12.0,15.0,4.0,7.0,5.0,9.0,14.0
245,4.0,9.0,11.0,18.0,3.0,7.0,11.0,8.0,20.0
246,4.0,17.0,14.0,16.0,14.0,7.0,1.0,12.0,22.0
247,2.0,14.0,9.0,10.0,9.0,10.0,4.0,6.0,18.0
248,1.0,13.0,27.0,12.0,7.0,5.0,13.0,5.0,20.0
249,4.0,17.0,11.0,10.0,10.0,6.0,7.0,18.0,23.0
250,3.0,10.0,20.0,16.0,10.0,3.0,4.0,8.0,20.0
251,3.0,13.0,13.0,16.0,10.0,7.0,3.0,4.0,13.0
252,4.0,7.0,14.0,7.0,7.0,5.0,7.0,3.0,26.0
253,9.0,9.0,19.0,14.0,10.0,10.0,8.0,9.0,21.0
254,5.0,9.0,17.0,13.0,3.0,14.0,7.0,9.0,28.0
255,4.0,18.0,15.0,9.0,5.0,5.0,16.0,10.0,24.0
256,4.0,13.0,11.0,13.0,9.0,7.0,16.0,11.0,20.0
257,4.0,13.0,18.0,21.0,9.0,10.0,10.0,13.0,26.0
258,3.0,12.0,16.0,19.0,9.0,3.0,8.0,9.0,23.0
259,5.0,7.0,13.0,15.0,8.0,12.0,9.0,7.0,24.0
260,1.0,10.0,20.0,12.0,3.0,3.0,5.0,12.0,27.0
261,5.0,12.0,19.0,15.0,10.0,11.0,9.0,10.0,27.0
262,7.0,21.0,18.0,19.0,11.0,4.0,7.0,9.0,16.0
263,7.0,9.0,18.0,17.0,12.0,7.0,9.0,9.0,22.0
264,3.0,16.0,23.0,18.0,9.0,5.0,6.0,6.0,21.0
265,2.0,15.0,22.0,16.0,14.0,10.0,5.0,10.0,20.0
266,8.0,16.0,16.0,13.0,10.0,6.0,8.0,14.0,12.0
267,2.0,9.0,11.0,22.0,9.0,6.0,11.0,5.0,15.0
268,3.0,10.0,9.0,21.0,10.0,6.0,2.0,5.0,28.0
269,1.0,13.0,17.0,11.0,8.0,10.0,1.0,9.0,13.0
270,3.0,8.0,18.0,19.0,8.0,12.0,6.0,10.0,17.0
271,2.0,11.0,6.0,21.0,6.0,8.0,5.0,15.0,18.0
272,2.0,11.0,22.0,17.0,9.0,10.0,13.0,10.0,15.0
273,2.0,9.0,19.0,19.0,18.0,12.0,4.0,14.0,25.0
274,3.0,10.0,18.0,20.0,10.0,11.0,8.0,9.0,18.0
275,5.0,17.0,23.0,22.0,15.0,13.0,7.0,6.0,19.0
276,5.0,14.0,13.0,25.0,9.0,11.0,7.0,10.0,26.0
277,7.0,18.0,14.0,11.0,13.0,15.0,9.0,10.0,27.0
278,4.0,11.0,15.0,15.0,12.0,12.0,4.0,12.0,21.0
279,2.0,12.0,19.0,12.0,9.0,13.0,13.0,11.0,21.0
280,1.0,14.0,19.0,16.0,4.0,7.0,8.0,10.0,17.0
281,1.0,19.0,19.0,18.0,10.0,12.0,9.0,7.0,29.0
282,0.0,13.0,17.0,20.0,7.0,7.0,8.0,10.0,24.0
283,6.0,12.0,20.0,19.0,5.0,7.0,19.0,9.0,29.0
284,7.0,12.0,22.0,19.0,7.0,19.0,7.0,14.0,26.0
285,2.0,9.0,12.0,20.0,6.0,5.0,7.0,7.0,14.0
286,5.0,20.0,19.0,14.0,10.0,15.0,7.0,5.0,28.0
287,2.0,14.0,25.0,25.0,12.0,4.0,11.0,7.0,20.0
