,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas
152,3490.0,4399.0,255.0,680.0,3608.0,3074.0
153,3409.0,4400.0,245.0,675.0,3551.0,2993.0
154,3430.0,4400.0,249.0,678.0,3515.0,2954.0
155,3414.0,4399.0,252.0,685.0,3462.0,2888.0
156,3410.0,4400.0,253.0,700.0,3434.0,2801.0
157,3400.0,4400.0,255.0,711.0,3427.0,2739.0
158,3386.0,4400.0,252.0,719.0,3415.0,2705.0
159,3323.0,4399.0,253.0,719.0,3387.0,2683.0
160,3323.0,4399.0,253.0,719.0,3387.0,2683.0
161,3141.0,4401.0,252.0,709.0,3420.0,2686.0
162,3036.0,4400.0,253.0,696.0,3436.0,2750.0
163,3064.0,4401.0,255.0,684.0,3389.0,2784.0
164,3097.0,4400.0,256.0,675.0,3369.0,2752.0
165,3078.0,4400.0,249.0,668.0,3351.0,2708.0
166,3078.0,4400.0,249.0,668.0,3351.0,2708.0
167,3058.0,4400.0,247.0,665.0,3333.0,2663.0
168,3052.0,4400.0,261.0,663.0,3339.0,2506.0
169,3010.0,4400.0,261.0,665.0,3344.0,2439.0
170,3010.0,4400.0,261.0,665.0,3344.0,2439.0
171,2947.0,4400.0,257.0,661.0,3336.0,2358.0
172,3030.0,4400.0,250.0,626.0,3324.0,2281.0
173,3020.0,4400.0,253.0,628.0,3388.0,2152.0
174,3020.0,4400.0,253.0,628.0,3388.0,2152.0
175,3021.0,4400.0,246.0,633.0,3538.0,1986.0
176,2987.0,4400.0,248.0,631.0,3597.0,1970.0
177,2987.0,4400.0,248.0,631.0,3597.0,1970.0
178,2871.0,4400.0,244.0,629.0,3666.0,1880.0
179,2819.0,4401.0,250.0,617.0,3678.0,1863.0
180,2814.0,4399.0,251.0,607.0,3688.0,1843.0
181,2813.0,4401.0,254.0,604.0,3658.0,1833.0
182,2810.0,4398.0,252.0,603.0,3705.0,1832.0
183,2810.0,4398.0,252.0,603.0,3705.0,1832.0
184,2907.0,4400.0,247.0,592.0,3787.0,1833.0
185,2919.0,4401.0,252.0,586.0,3722.0,1838.0
186,2889.0,4398.0,250.0,580.0,3728.0,1823.0
187,2827.0,4400.0,253.0,576.0,3786.0,1823.0
188,2827.0,4399.0,252.0,573.0,3808.0,1825.0
189,2844.0,4401.0,249.0,569.0,3797.0,1823.0
190,2790.0,4400.0,252.0,568.0,3784.0,1822.0
191,2779.0,4398.0,261.0,564.0,3786.0,1822.0
192,2762.0,4399.0,259.0,566.0,3785.0,1826.0
193,2762.0,4399.0,259.0,566.0,3785.0,1826.0
194,2674.0,4399.0,262.0,570.0,3751.0,1823.0
195,2744.0,4399.0,260.0,564.0,3644.0,1803.0
196,2732.0,4400.0,262.0,547.0,3607.0,1741.0
197,2800.0,4401.0,261.0,541.0,3586.0,1736.0
198,2800.0,4401.0,261.0,541.0,3586.0,1736.0
199,2765.0,4400.0,259.0,517.0,3532.0,1734.0
200,2723.0,4400.0,261.0,513.0,3576.0,1731.0
201,2809.0,4400.0,264.0,505.0,3590.0,1735.0
202,2809.0,4400.0,264.0,505.0,3590.0,1735.0
203,2719.0,4401.0,261.0,489.0,3604.0,1749.0
204,2759.0,4401.0,265.0,485.0,3575.0,1732.0
205,2732.0,4400.0,262.0,470.0,3573.0,1723.0
206,2729.0,4400.0,263.0,463.0,3576.0,1723.0
207,2785.0,4401.0,260.0,455.0,3581.0,1736.0
208,2785.0,4401.0,260.0,455.0,3581.0,1736.0
209,2781.0,4403.0,263.0,437.0,3578.0,1727.0
210,2864.0,4402.0,263.0,430.0,3561.0,1767.0
211,2833.0,4400.0,265.0,420.0,3563.0,1827.0
212,2828.0,4401.0,264.0,414.0,3519.0,1836.0
213,2828.0,4401.0,264.0,414.0,3519.0,1836.0
214,2828.0,4401.0,264.0,414.0,3519.0,1836.0
215,2828.0,4401.0,264.0,414.0,3519.0,1836.0
216,2891.0,4402.0,266.0,397.0,3481.0,1855.0
217,2891.0,4402.0,266.0,397.0,3481.0,1855.0
218,2885.0,4401.0,268.0,386.0,3520.0,1873.0
219,2885.0,4401.0,268.0,386.0,3520.0,1873.0
220,2932.0,4401.0,266.0,381.0,3533.0,1820.0
221,2832.0,4402.0,264.0,362.0,3634.0,1830.0
222,2878.0,4400.0,267.0,355.0,3619.0,1867.0
223,2842.0,4401.0,267.0,343.0,3593.0,1901.0
224,2847.0,4401.0,269.0,334.0,3613.0,1886.0
225,2840.0,4400.0,261.0,330.0,3653.0,1919.0
226,2863.0,4400.0,263.0,319.0,3627.0,1962.0
227,2863.0,4400.0,263.0,319.0,3627.0,1962.0
228,2904.0,4400.0,268.0,304.0,3595.0,2022.0
229,2904.0,4400.0,268.0,304.0,3595.0,2022.0
230,2895.0,4402.0,262.0,301.0,3641.0,2013.0
231,2931.0,4399.0,264.0,292.0,3789.0,2066.0
232,2909.0,4400.0,263.0,291.0,3869.0,2095.0
233,2916.0,4402.0,268.0,294.0,3896.0,2112.0
234,2944.0,4401.0,267.0,290.0,3888.0,2111.0
235,3003.0,4401.0,266.0,286.0,3853.0,2141.0
236,2977.0,4400.0,267.0,288.0,3801.0,2149.0
237,2977.0,4400.0,267.0,288.0,3801.0,2149.0
238,3034.0,4401.0,257.0,291.0,3917.0,2154.0
239,3147.0,4399.0,255.0,292.0,3941.0,2141.0
240,3216.0,4399.0,254.0,292.0,3965.0,2115.0
241,3223.0,4402.0,262.0,296.0,4004.0,2094.0
242,3214.0,4401.0,264.0,297.0,4036.0,2065.0
243,3192.0,4402.0,259.0,302.0,4055.0,2033.0
244,3148.0,4401.0,254.0,305.0,4173.0,2036.0
245,3206.0,4400.0,257.0,309.0,4180.0,2044.0
246,3290.0,4400.0,263.0,306.0,4142.0,2018.0
247,3297.0,4400.0,262.0,309.0,4146.0,1992.0
248,3297.0,4400.0,262.0,309.0,4146.0,1992.0
249,3376.0,4400.0,263.0,300.0,4120.0,2140.0
250,3444.0,4400.0,263.0,297.0,4104.0,2182.0
251,3476.0,4402.0,263.0,291.0,4137.0,2252.0
252,3533.0,4401.0,263.0,282.0,4123.0,2330.0
253,3533.0,4401.0,263.0,282.0,4123.0,2330.0
254,3504.0,4401.0,257.0,278.0,4161.0,2420.0
255,3585.0,4400.0,264.0,266.0,4145.0,2640.0
256,3656.0,4399.0,262.0,257.0,4137.0,2765.0
257,3666.0,4399.0,261.0,249.0,4192.0,2858.0
258,3648.0,4399.0,256.0,244.0,4243.0,2898.0
259,3648.0,4399.0,256.0,244.0,4243.0,2898.0
260,3603.0,4401.0,254.0,235.0,4300.0,2940.0
261,3621.0,4401.0,262.0,220.0,4453.0,2937.0
262,3582.0,4400.0,262.0,213.0,4530.0,2955.0
263,3582.0,4400.0,262.0,213.0,4530.0,2955.0
264,3565.0,4401.0,260.0,207.0,4653.0,2988.0
265,3566.0,4400.0,265.0,201.0,4709.0,3011.0
266,3551.0,4399.0,265.0,199.0,4758.0,3073.0
267,3580.0,4400.0,259.0,196.0,4646.0,3032.0
268,3550.0,4399.0,258.0,191.0,4590.0,2996.0
269,3599.0,4400.0,253.0,181.0,4466.0,3008.0
270,3589.0,4401.0,256.0,174.0,4446.0,3019.0
271,3615.0,4402.0,256.0,170.0,4373.0,3049.0
272,3653.0,4400.0,258.0,169.0,4356.0,3052.0
273,3678.0,4399.0,256.0,161.0,4368.0,3049.0
274,3690.0,4398.0,257.0,155.0,4376.0,3050.0
275,3690.0,4398.0,257.0,155.0,4376.0,3050.0
276,3690.0,4401.0,259.0,148.0,4367.0,3048.0
277,3688.0,4400.0,261.0,147.0,4391.0,3042.0
278,3612.0,4399.0,268.0,146.0,4494.0,3076.0
279,3572.0,4400.0,269.0,145.0,4533.0,3152.0
280,3590.0,4402.0,265.0,146.0,4555.0,3172.0
281,3593.0,4401.0,264.0,144.0,4560.0,3181.0
282,3593.0,4401.0,264.0,144.0,4560.0,3181.0
283,3588.0,4401.0,259.0,138.0,4583.0,3202.0
284,3580.0,4401.0,260.0,133.0,4595.0,3206.0
285,3572.0,4402.0,263.0,128.0,4584.0,3212.0
286,3561.0,4401.0,258.0,118.0,4565.0,3218.0
287,3544.0,4401.0,263.0,108.0,4567.0,3224.0
288,3532.0,4401.0,264.0,101.0,4543.0,3229.0
289,3526.0,4402.0,268.0,92.0,4504.0,3229.0
290,3526.0,4402.0,268.0,92.0,4504.0,3229.0
291,3537.0,4402.0,263.0,83.0,4504.0,3222.0
292,3604.0,4401.0,266.0,78.0,4517.0,3227.0
293,3648.0,4401.0,267.0,75.0,4502.0,3227.0
294,3648.0,4401.0,267.0,75.0,4502.0,3227.0
295,3702.0,4400.0,264.0,68.0,4471.0,3228.0
