,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_atlanta
107,46.0,91.0,13.0,8.0,44.0,51.0,5.0,42.0,14.0,47.0
108,46.0,82.0,23.0,13.0,49.0,51.0,5.0,59.0,6.0,42.0
109,46.0,82.0,23.0,13.0,49.0,51.0,5.0,59.0,6.0,42.0
110,49.0,87.0,60.0,11.0,58.0,49.0,6.0,90.0,5.0,36.0
111,49.0,87.0,60.0,11.0,58.0,49.0,6.0,90.0,5.0,36.0
112,52.0,76.0,60.0,8.0,70.0,46.0,10.0,104.0,7.0,30.0
113,52.0,76.0,60.0,8.0,70.0,46.0,10.0,104.0,7.0,30.0
114,48.0,79.0,28.0,13.0,91.0,38.0,10.0,89.0,11.0,18.0
115,48.0,79.0,28.0,13.0,91.0,38.0,10.0,89.0,11.0,18.0
116,55.0,98.0,30.0,29.0,123.0,43.0,5.0,91.0,13.0,15.0
117,55.0,98.0,30.0,29.0,123.0,43.0,5.0,91.0,13.0,15.0
118,58.0,100.0,33.0,30.0,96.0,44.0,5.0,81.0,9.0,8.0
119,58.0,100.0,33.0,30.0,96.0,44.0,5.0,81.0,9.0,8.0
120,76.0,102.0,48.0,33.0,95.0,46.0,19.0,75.0,13.0,10.0
121,76.0,102.0,48.0,33.0,95.0,46.0,19.0,75.0,13.0,10.0
122,78.0,106.0,48.0,22.0,69.0,36.0,17.0,60.0,15.0,10.0
123,78.0,106.0,48.0,22.0,69.0,36.0,17.0,60.0,15.0,10.0
124,75.0,103.0,34.0,17.0,48.0,31.0,14.0,56.0,16.0,10.0
125,75.0,103.0,34.0,17.0,48.0,31.0,14.0,56.0,16.0,10.0
126,64.0,129.0,34.0,26.0,27.0,33.0,5.0,69.0,18.0,7.0
127,64.0,129.0,34.0,26.0,27.0,33.0,5.0,69.0,18.0,7.0
128,66.0,201.0,17.0,27.0,32.0,36.0,6.0,35.0,15.0,14.0
129,66.0,201.0,17.0,27.0,32.0,36.0,6.0,35.0,15.0,14.0
