,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind
210,1649.0,4388.0,235.0,3102.0,1679.0,2.0,0.0
211,1646.0,4387.0,236.0,3099.0,1693.0,2.0,0.0
212,1646.0,4388.0,231.0,3106.0,1688.0,2.0,0.0
213,1651.0,4388.0,231.0,3102.0,1679.0,2.0,0.0
214,1656.0,4384.0,226.0,3102.0,1678.0,2.0,0.0
215,1655.0,4385.0,226.0,3102.0,1669.0,2.0,0.0
216,1659.0,4385.0,230.0,3100.0,1668.0,2.0,0.0
217,1675.0,4383.0,232.0,3104.0,1690.0,2.0,0.0
218,1649.0,4385.0,236.0,3110.0,1690.0,2.0,0.0
219,1640.0,4383.0,237.0,3124.0,1691.0,2.0,0.0
220,1650.0,4384.0,238.0,3116.0,1685.0,2.0,0.0
221,1683.0,4384.0,236.0,3092.0,1675.0,2.0,1.0
222,1671.0,4385.0,235.0,3089.0,1678.0,2.0,1.0
223,1654.0,4384.0,234.0,3095.0,1690.0,2.0,1.0
224,1658.0,4384.0,234.0,3099.0,1691.0,2.0,1.0
225,1666.0,4385.0,235.0,3104.0,1690.0,2.0,1.0
226,1668.0,4383.0,236.0,3113.0,1690.0,2.0,1.0
227,1676.0,4385.0,232.0,3131.0,1691.0,2.0,2.0
228,1661.0,4385.0,232.0,3134.0,1691.0,2.0,2.0
229,1661.0,4382.0,231.0,3123.0,1688.0,2.0,2.0
230,1710.0,4385.0,229.0,3127.0,1689.0,2.0,2.0
231,1708.0,4384.0,228.0,3163.0,1697.0,2.0,2.0
232,1685.0,4384.0,231.0,3166.0,1697.0,2.0,2.0
233,1653.0,4384.0,232.0,3176.0,1699.0,2.0,3.0
234,1645.0,4385.0,230.0,3187.0,1698.0,2.0,2.0
235,1658.0,4383.0,230.0,3196.0,1697.0,2.0,2.0
236,1663.0,4382.0,236.0,3186.0,1697.0,2.0,2.0
237,1663.0,4382.0,236.0,3186.0,1697.0,2.0,2.0
238,1701.0,4385.0,236.0,3215.0,1700.0,2.0,2.0
239,1686.0,4385.0,237.0,3255.0,1693.0,2.0,1.0
240,1703.0,4383.0,237.0,3298.0,1693.0,2.0,1.0
241,1710.0,4384.0,233.0,3365.0,1713.0,2.0,0.0
242,1815.0,4382.0,232.0,3433.0,1727.0,2.0,0.0
243,1830.0,4385.0,232.0,3437.0,1763.0,2.0,0.0
244,1809.0,4383.0,235.0,3438.0,1754.0,2.0,0.0
245,1808.0,4383.0,240.0,3469.0,1791.0,2.0,0.0
246,1802.0,4383.0,238.0,3491.0,1832.0,2.0,0.0
247,1784.0,4383.0,235.0,3484.0,1880.0,2.0,0.0
