,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes
395,158.0,43.0,267.0,63.0
396,167.0,48.0,300.0,60.0
397,144.0,54.0,321.0,61.0
398,157.0,49.0,313.0,62.0
399,170.0,56.0,309.0,70.0
400,161.0,42.0,289.0,66.0
401,167.0,49.0,301.0,78.0
402,175.0,53.0,288.0,45.0
403,159.0,41.0,315.0,53.0
404,163.0,42.0,274.0,57.0
405,162.0,42.0,318.0,67.0
406,164.0,45.0,270.0,54.0
407,163.0,45.0,308.0,79.0
408,186.0,46.0,328.0,65.0
409,150.0,49.0,329.0,53.0
410,167.0,55.0,299.0,63.0
411,155.0,47.0,285.0,51.0
412,194.0,49.0,277.0,59.0
413,165.0,48.0,313.0,53.0
414,179.0,52.0,348.0,52.0
415,164.0,51.0,323.0,62.0
416,189.0,39.0,325.0,67.0
417,175.0,49.0,304.0,58.0
418,163.0,51.0,340.0,65.0
419,188.0,41.0,318.0,74.0
420,188.0,54.0,327.0,74.0
421,171.0,45.0,289.0,61.0
422,175.0,40.0,342.0,56.0
423,137.0,36.0,283.0,70.0
424,175.0,46.0,312.0,53.0
425,178.0,47.0,296.0,61.0
426,167.0,56.0,265.0,75.0
427,157.0,63.0,292.0,58.0
428,175.0,45.0,315.0,53.0
429,165.0,38.0,277.0,50.0
430,177.0,54.0,315.0,59.0
431,162.0,40.0,257.0,68.0
432,179.0,45.0,301.0,47.0
433,152.0,40.0,299.0,62.0
434,161.0,51.0,300.0,47.0
435,148.0,54.0,308.0,70.0
436,155.0,50.0,313.0,64.0
437,148.0,39.0,277.0,75.0
438,151.0,48.0,312.0,77.0
439,180.0,46.0,321.0,64.0
440,148.0,38.0,306.0,53.0
441,148.0,40.0,317.0,61.0
442,166.0,43.0,326.0,69.0
443,157.0,49.0,335.0,61.0
444,157.0,46.0,335.0,73.0
445,165.0,51.0,291.0,55.0
446,173.0,48.0,304.0,50.0
447,159.0,44.0,339.0,67.0
448,176.0,48.0,315.0,73.0
449,164.0,46.0,346.0,84.0
450,169.0,47.0,277.0,66.0
451,169.0,58.0,284.0,66.0
452,155.0,49.0,302.0,74.0
453,162.0,44.0,327.0,60.0
454,178.0,37.0,303.0,68.0
455,162.0,42.0,336.0,59.0
456,173.0,47.0,303.0,59.0
457,135.0,52.0,314.0,82.0
458,179.0,50.0,304.0,71.0
459,168.0,44.0,295.0,59.0
460,153.0,46.0,281.0,64.0
461,171.0,52.0,270.0,58.0
462,140.0,41.0,289.0,54.0
463,134.0,45.0,267.0,75.0
464,149.0,48.0,287.0,56.0
465,166.0,41.0,264.0,51.0
466,159.0,41.0,266.0,66.0
467,163.0,36.0,280.0,68.0
468,159.0,46.0,283.0,64.0
469,138.0,52.0,296.0,54.0
470,155.0,46.0,299.0,64.0
471,162.0,37.0,290.0,71.0
472,163.0,51.0,286.0,61.0
473,173.0,52.0,312.0,74.0
474,163.0,53.0,342.0,71.0
475,177.0,45.0,346.0,60.0
