,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
265,18.0,12.0,12.0,17.0
266,19.0,12.0,13.0,17.0
267,20.0,12.0,13.0,18.0
268,18.0,12.0,14.0,16.0
269,18.0,12.0,15.0,15.0
270,17.0,13.0,15.0,14.0
271,17.0,13.0,14.0,14.0
272,16.0,13.0,14.0,15.0
273,17.0,13.0,15.0,15.0
274,16.0,13.0,14.0,15.0
275,16.0,13.0,14.0,14.0
276,16.0,13.0,14.0,14.0
277,16.0,13.0,14.0,15.0
278,16.0,13.0,13.0,15.0
279,15.0,12.0,12.0,14.0
280,15.0,12.0,12.0,14.0
281,16.0,11.0,12.0,15.0
282,16.0,12.0,13.0,15.0
283,16.0,12.0,13.0,15.0
284,16.0,11.0,13.0,15.0
285,16.0,11.0,12.0,15.0
286,16.0,11.0,12.0,15.0
287,15.0,11.0,12.0,14.0
288,15.0,11.0,12.0,14.0
289,16.0,11.0,12.0,15.0
290,16.0,11.0,13.0,15.0
291,15.0,13.0,13.0,14.0
292,15.0,13.0,13.0,15.0
293,15.0,12.0,13.0,14.0
294,15.0,12.0,13.0,13.0
295,15.0,12.0,13.0,13.0
296,15.0,12.0,13.0,14.0
297,15.0,12.0,13.0,14.0
298,16.0,12.0,13.0,14.0
299,15.0,12.0,13.0,14.0
300,16.0,12.0,13.0,14.0
301,15.0,12.0,13.0,14.0
302,15.0,13.0,14.0,14.0
303,16.0,13.0,14.0,15.0
304,16.0,14.0,14.0,15.0
305,16.0,13.0,13.0,15.0
306,16.0,13.0,13.0,15.0
307,16.0,12.0,13.0,14.0
308,16.0,12.0,13.0,15.0
309,16.0,12.0,13.0,15.0
310,16.0,12.0,13.0,14.0
311,19.0,12.0,14.0,17.0
312,19.0,12.0,14.0,17.0
313,18.0,13.0,15.0,16.0
314,17.0,13.0,14.0,16.0
315,17.0,13.0,14.0,15.0
316,18.0,13.0,14.0,17.0
317,18.0,13.0,15.0,17.0
318,20.0,14.0,16.0,18.0
319,21.0,16.0,17.0,20.0
320,21.0,16.0,16.0,20.0
321,18.0,15.0,16.0,17.0
322,18.0,15.0,16.0,17.0
323,18.0,16.0,18.0,15.0
324,23.0,15.0,20.0,16.0
325,22.0,15.0,19.0,18.0
326,22.0,15.0,18.0,18.0
327,21.0,15.0,17.0,18.0
328,20.0,14.0,16.0,18.0
329,19.0,14.0,15.0,17.0
330,20.0,13.0,14.0,18.0
331,21.0,13.0,13.0,20.0
332,20.0,13.0,14.0,19.0
333,21.0,13.0,14.0,20.0
334,21.0,13.0,14.0,19.0
335,21.0,13.0,15.0,19.0
336,21.0,13.0,15.0,19.0
337,20.0,14.0,15.0,19.0
338,20.0,14.0,15.0,19.0
339,21.0,13.0,14.0,20.0
340,22.0,13.0,14.0,21.0
341,21.0,14.0,16.0,19.0
342,22.0,15.0,16.0,20.0
343,21.0,15.0,16.0,19.0
344,22.0,15.0,16.0,20.0
345,23.0,15.0,16.0,21.0
346,21.0,15.0,16.0,19.0
347,22.0,17.0,18.0,20.0
348,23.0,17.0,18.0,21.0
349,22.0,18.0,19.0,20.0
350,22.0,18.0,20.0,20.0
351,23.0,19.0,21.0,21.0
352,23.0,20.0,21.0,22.0
353,25.0,21.0,22.0,23.0
354,28.0,21.0,23.0,27.0
355,26.0,22.0,24.0,24.0
356,26.0,24.0,26.0,23.0
357,28.0,24.0,29.0,23.0
358,29.0,24.0,28.0,25.0
359,29.0,25.0,27.0,25.0
360,29.0,24.0,27.0,26.0
361,32.0,24.0,27.0,28.0
362,32.0,24.0,26.0,29.0
363,30.0,22.0,23.0,28.0
364,27.0,22.0,23.0,26.0
365,25.0,21.0,22.0,23.0
366,23.0,20.0,21.0,22.0
367,21.0,20.0,21.0,19.0
368,21.0,21.0,21.0,21.0
369,23.0,20.0,21.0,21.0
370,23.0,21.0,22.0,22.0
371,23.0,21.0,22.0,21.0
372,25.0,21.0,22.0,23.0
373,24.0,19.0,21.0,22.0
374,24.0,19.0,20.0,22.0
375,26.0,19.0,20.0,24.0
376,28.0,19.0,20.0,26.0
377,28.0,19.0,20.0,26.0
378,28.0,19.0,21.0,26.0
379,29.0,20.0,22.0,27.0
380,29.0,22.0,24.0,27.0
381,29.0,23.0,24.0,28.0
382,28.0,26.0,24.0,29.0
383,29.0,28.0,28.0,29.0
384,31.0,30.0,31.0,29.0
385,32.0,33.0,34.0,30.0
386,29.0,34.0,31.0,31.0
387,32.0,42.0,35.0,40.0
388,33.0,40.0,36.0,37.0
389,39.0,49.0,42.0,46.0
390,43.0,50.0,45.0,48.0
391,43.0,54.0,47.0,50.0
392,44.0,55.0,48.0,52.0
393,43.0,58.0,50.0,51.0
394,41.0,62.0,53.0,49.0
395,38.0,64.0,53.0,49.0
396,39.0,66.0,56.0,50.0
397,43.0,71.0,61.0,53.0
398,44.0,71.0,61.0,53.0
399,38.0,71.0,62.0,47.0
400,38.0,69.0,62.0,45.0
401,39.0,69.0,62.0,46.0
402,40.0,69.0,61.0,48.0
403,44.0,65.0,58.0,50.0
404,43.0,63.0,57.0,49.0
405,45.0,62.0,56.0,51.0
406,43.0,61.0,56.0,48.0
407,44.0,63.0,57.0,50.0
408,45.0,62.0,58.0,49.0
409,45.0,63.0,58.0,50.0
410,48.0,64.0,60.0,52.0
411,53.0,62.0,58.0,57.0
412,57.0,62.0,56.0,63.0
413,55.0,63.0,57.0,61.0
414,52.0,63.0,57.0,57.0
415,47.0,62.0,57.0,52.0
416,45.0,62.0,57.0,50.0
417,42.0,63.0,56.0,49.0
418,45.0,63.0,58.0,49.0
419,44.0,63.0,57.0,49.0
420,43.0,67.0,59.0,51.0
421,42.0,74.0,65.0,51.0
422,41.0,69.0,60.0,50.0
423,38.0,72.0,65.0,45.0
424,34.0,72.0,65.0,41.0
425,33.0,72.0,65.0,40.0
426,35.0,72.0,65.0,42.0
427,37.0,72.0,65.0,44.0
428,38.0,70.0,65.0,43.0
429,35.0,70.0,65.0,39.0
430,33.0,70.0,65.0,38.0
431,34.0,68.0,64.0,38.0
432,33.0,68.0,63.0,38.0
433,34.0,68.0,63.0,39.0
434,35.0,67.0,63.0,39.0
435,37.0,64.0,61.0,39.0
436,38.0,64.0,61.0,40.0
437,37.0,63.0,60.0,40.0
438,40.0,60.0,58.0,42.0
439,43.0,58.0,56.0,45.0
440,45.0,58.0,55.0,48.0
441,47.0,57.0,55.0,49.0
442,46.0,54.0,53.0,46.0
443,43.0,48.0,49.0,41.0
444,42.0,46.0,48.0,40.0
445,40.0,45.0,48.0,37.0
446,37.0,42.0,44.0,35.0
447,38.0,39.0,42.0,35.0
448,39.0,38.0,40.0,37.0
449,35.0,36.0,37.0,33.0
450,37.0,36.0,37.0,36.0
451,37.0,37.0,39.0,35.0
452,37.0,38.0,39.0,35.0
453,39.0,37.0,38.0,37.0
454,41.0,35.0,37.0,39.0
455,40.0,36.0,38.0,38.0
456,38.0,38.0,40.0,36.0
457,32.0,39.0,40.0,30.0
458,31.0,40.0,41.0,29.0
459,28.0,40.0,41.0,26.0
460,25.0,42.0,43.0,23.0
461,24.0,43.0,44.0,23.0
462,24.0,43.0,44.0,23.0
463,23.0,42.0,43.0,22.0
464,24.0,42.0,43.0,23.0
465,24.0,36.0,36.0,24.0
466,24.0,34.0,35.0,23.0
467,23.0,29.0,29.0,22.0
468,22.0,25.0,26.0,22.0
469,23.0,27.0,27.0,22.0
470,24.0,28.0,29.0,23.0
471,23.0,29.0,28.0,24.0
472,23.0,29.0,28.0,24.0
473,22.0,26.0,26.0,22.0
474,23.0,25.0,25.0,22.0
475,23.0,23.0,24.0,21.0
476,23.0,24.0,25.0,22.0
477,23.0,25.0,26.0,22.0
478,23.0,26.0,26.0,22.0
479,23.0,22.0,23.0,23.0
480,25.0,21.0,22.0,24.0
481,27.0,20.0,20.0,26.0
482,27.0,18.0,19.0,26.0
483,26.0,18.0,18.0,25.0
484,25.0,16.0,16.0,24.0
485,21.0,15.0,16.0,20.0
486,19.0,15.0,15.0,19.0
487,18.0,15.0,15.0,18.0
488,18.0,15.0,16.0,17.0
489,18.0,16.0,17.0,16.0
490,18.0,16.0,18.0,16.0
491,19.0,18.0,18.0,18.0
492,18.0,18.0,19.0,17.0
493,18.0,21.0,19.0,20.0
494,18.0,20.0,19.0,19.0
495,17.0,19.0,20.0,16.0
496,17.0,19.0,20.0,16.0
497,16.0,18.0,18.0,15.0
