,electricity-load-nyiso-capitl,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-hud_valley,electricity-load-nyiso-north,electricity-load-nyiso-centrl,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-nyc,electricity-load-nyiso-longil,electricity-load-nyiso-dunwod,electricity-load-nyiso-overall,electricity-load-nyiso-genese
79,1570.1833,1885.5433,343.4771,1075.9065,689.3539,2195.1255,1063.2932,5710.1016,2087.143,649.273,18603.0669,1333.6665
80,1572.614,1909.613,338.2262,1061.0944,702.4445,2178.6917,1056.28,5700.2847,2078.957,656.4459,18584.2979,1329.6465
81,1574.074,1916.3928,352.3973,1094.7423,693.3467,2178.309,1064.4174,5717.3696,2068.2834,656.025,18645.3375,1329.98
82,1574.3757,1894.722,342.1054,1090.0632,694.9235,2173.6353,1064.2949,5723.5186,2092.297,650.7116,18635.266600000006,1334.6194
83,1584.7208,1894.6444,349.5117,1092.1327,690.5516,2203.1523,1060.0552,5715.1953,2111.9495,660.4246,18697.073800000002,1334.7357
84,1583.4279,1903.0891,344.5725,1120.3011,690.3975,2190.128,1076.5925,5778.21,2102.8901,648.1624,18762.3954,1324.6243
85,1567.8833,1887.1272,351.8849,1118.7555,692.8225,2201.4663,1072.0414,5744.6133,2102.1326,651.6235,18712.0183,1321.6678
86,1584.5962,1884.4482,358.2192,1104.7468,693.7698,2158.2034,1061.2344,5794.239,2120.2866,665.2423,18745.9525,1320.9666
87,1588.7139,1890.8806,360.4457,1090.7374,709.3631,2178.5679,1073.6587,5762.258,2132.9202,657.6885,18766.0596,1320.8256
88,1592.0984,1866.9991,353.074,1120.2638,703.6915,2186.958,1077.1322,5788.5605,2150.6318,671.3809,18835.0031,1324.2129
89,1611.8875,1899.7882,354.6834,1133.5305,690.1863,2194.1648,1092.2031,5788.006,2162.565,668.2888,18921.8407,1326.5371
90,1605.5188,1911.6437,373.13,1139.3671,705.9567,2202.4712,1087.8253,5779.933,2185.8708,675.3622,18996.5316,1329.4528
91,1607.2214,1897.4196,361.9326,1141.6951,705.4206,2202.71,1083.1097,5811.459,2197.8242,665.5893,19001.6549,1327.2734
92,1613.342,1900.3928,376.9246,1130.1924,704.4858,2191.7295,1090.209,5805.141,2205.008,686.5578,19037.1595,1333.1766
93,1623.0543,1883.2681,377.5638,1160.6733,704.411,2200.347,1093.6046,5815.953,2238.9482,688.2029,19115.0858,1329.0596
94,1626.8058,1927.1072,377.0317,1152.5425,712.413,2217.7563,1101.929,5807.7583,2260.8105,699.6733,19214.601,1330.7734
95,1635.3041,1892.5935,382.3491,1171.6931,704.2836,2231.9646,1100.9701,5818.4043,2274.0457,675.9545,19228.529199999997,1340.9666
96,1646.7834,1916.7992,372.6171,1166.6693,708.8841,2171.6921,1113.6697,5837.21,2289.226,692.6634,19254.9432,1338.7289
97,1664.0156,1912.3994,397.884,1197.9222,708.7076,2177.7065,1106.5574,5872.329,2308.336,669.2448,19375.3596,1360.2571
98,1654.2935,1926.5352,381.712,1188.1458,710.11,2205.8184,1100.2958,5855.5527,2308.079,697.7402,19374.0348,1345.7522
99,1664.2587,1899.2207,369.5465,1193.3682,702.6864,2203.9062,1134.0002,5859.3677,2322.8276,701.3241,19397.0736,1346.5673
100,1670.6144,1926.549,383.1758,1203.6124,710.4006,2221.7036,1135.6981,5864.9014,2344.5283,697.2778,19502.020699999997,1343.5593
101,1695.9229,1910.259,377.5922,1260.1051,719.5924,2229.496,1131.1953,5868.1475,2352.2314,705.2976,19596.5564,1346.717
102,1683.9568,1940.6884,392.4907,1188.393,729.8147,2199.1248,1148.0165,5885.1616,2386.1658,711.1192,19616.520399999998,1351.5889
103,1679.3961,1948.6506,388.3033,1230.1517,730.8683,2258.8623,1160.9912,5892.2393,2398.6167,708.1134,19747.9403,1351.7474
104,1704.5864,1911.2197,396.4705,1199.9338,727.9593,2245.2305,1168.9844,5913.5444,2419.5955,713.9152,19760.7634,1359.3237
105,1694.876,1948.2096,394.9212,1237.3192,734.8353,2275.3347,1169.378,5944.786,2449.9146,726.2379,19937.382299999997,1361.5698
106,1724.6418,1957.5063,406.7152,1242.856,731.9238,2298.0137,1172.1862,5984.6973,2483.7686,729.8957,20094.307600000004,1362.103
107,1721.1656,1978.2443,397.6945,1260.9286,719.8632,2252.932,1194.8174,6056.8,2510.8572,731.8397,20191.153499999997,1366.011
108,1723.7136,1975.5463,395.7859,1269.966,723.1303,2265.8462,1191.3425,6034.1553,2533.7876,741.712,20226.581300000005,1371.5956
109,1723.7915,1969.2278,408.0665,1277.1023,728.8459,2307.8884,1189.5798,6061.1177,2567.22,729.7498,20345.2123,1382.6226
110,1733.0337,1974.038,415.4909,1295.2446,729.3113,2313.6443,1186.8229,6055.0703,2584.794,746.0678,20421.219100000002,1387.7013
111,1713.5052,1964.2998,423.3771,1287.1309,725.3563,2301.0286,1202.3268,6013.763,2573.7988,749.8489,20352.0266,1397.5912
112,1735.3755,2017.8967,411.7347,1280.6469,742.7233,2273.4302,1187.8044,6017.0576,2597.9377,755.1163,20419.722600000005,1399.9993
113,1725.8523,2005.2802,419.4761,1278.9199,731.292,2313.2935,1197.505,6019.753,2582.2214,739.4889,20415.427300000003,1402.345
114,1731.4642,1987.2767,422.2777,1284.605,733.6509,2313.5657,1188.3113,6010.0664,2589.8704,741.1199,20397.1596,1394.9514
115,1724.791,1995.4601,422.183,1285.028,736.9598,2317.1497,1184.9719,6010.581,2584.42,746.1285,20408.462700000004,1400.7897
116,1722.5574,1980.8453,416.0503,1287.5737,732.4589,2332.148,1178.282,6012.9727,2600.7788,750.9684,20405.6594,1391.0239
117,1720.3855,1988.948,423.1254,1277.4304,721.5206,2323.3816,1184.4453,6008.58,2586.5625,754.9309,20376.4379,1387.1277
118,1729.0115,1981.1721,407.0919,1273.0366,728.939,2267.0498,1178.9653,5979.6562,2585.6738,746.7022,20262.465399999997,1385.167
119,1699.7777,1987.7905,414.3498,1293.8204,725.0238,2298.0613,1172.5981,6033.5215,2572.3281,737.1213,20323.781399999996,1389.3889
120,1703.4817,1995.2637,412.9293,1273.7147,719.4916,2293.2625,1184.8418,6009.007,2576.6272,738.8815,20296.051,1388.55
121,1696.2322,1982.8121,413.6082,1292.3766,711.6206,2305.182,1188.2567,6003.1455,2578.3994,740.6117,20301.209399999996,1388.9644
122,1714.8079,1969.0916,408.0798,1291.7507,716.7018,2307.8452,1172.9274,5962.074,2565.2434,739.5525,20226.419899999997,1378.3456
123,1696.9233,1965.1578,408.6616,1286.4357,695.9432,2251.6401,1191.1276,5956.8506,2552.004,731.3565,20113.220500000003,1377.1201
124,1692.3302,1988.901,420.3995,1283.6272,718.0753,2284.6787,1172.6729,5928.0464,2531.1992,742.9854,20136.740100000003,1373.8243
125,1694.9646,1986.3289,410.5328,1242.844,715.4283,2293.117,1178.1968,5936.671,2530.533,742.6822,20103.114800000003,1371.8162
126,1672.9465,1996.828,396.8256,1255.7067,725.3773,2281.282,1180.5167,5952.591,2537.5884,729.0989,20099.3987,1370.6376
