,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
501,22.0,5.0
502,23.0,6.0
503,27.0,7.0
504,16.0,10.0
505,11.0,6.0
506,20.0,13.0
507,14.0,14.0
508,18.0,7.0
509,19.0,7.0
510,10.0,7.0
511,17.0,13.0
512,34.0,9.0
513,16.0,8.0
514,25.0,9.0
515,19.0,11.0
516,18.0,6.0
517,24.0,9.0
518,18.0,11.0
519,25.0,5.0
520,18.0,12.0
521,26.0,8.0
522,18.0,5.0
523,25.0,7.0
524,18.0,12.0
525,18.0,8.0
526,17.0,5.0
527,21.0,9.0
528,7.0,6.0
529,14.0,6.0
530,14.0,4.0
531,17.0,12.0
532,19.0,9.0
533,13.0,3.0
534,16.0,3.0
535,20.0,9.0
536,16.0,14.0
537,16.0,8.0
538,12.0,6.0
539,13.0,12.0
540,15.0,10.0
541,17.0,7.0
542,18.0,6.0
543,18.0,11.0
544,12.0,7.0
545,14.0,9.0
546,11.0,8.0
547,18.0,9.0
548,9.0,9.0
549,11.0,10.0
550,19.0,5.0
551,6.0,7.0
552,12.0,6.0
553,13.0,6.0
554,10.0,7.0
555,13.0,12.0
556,9.0,7.0
557,11.0,9.0
558,14.0,12.0
559,18.0,8.0
560,15.0,11.0
561,11.0,6.0
562,16.0,2.0
563,10.0,3.0
564,19.0,7.0
565,12.0,10.0
566,12.0,14.0
567,15.0,10.0
568,11.0,7.0
569,15.0,7.0
570,20.0,2.0
571,10.0,11.0
572,13.0,6.0
573,11.0,5.0
574,16.0,8.0
575,9.0,6.0
576,17.0,3.0
577,19.0,3.0
578,12.0,10.0
579,16.0,6.0
580,12.0,8.0
581,25.0,5.0
582,8.0,7.0
583,12.0,6.0
584,8.0,7.0
585,12.0,10.0
586,13.0,6.0
587,13.0,5.0
588,15.0,3.0
589,13.0,6.0
590,13.0,9.0
591,24.0,6.0
592,5.0,7.0
593,17.0,9.0
594,9.0,8.0
595,12.0,7.0
596,12.0,6.0
597,15.0,9.0
598,16.0,5.0
599,10.0,6.0
600,10.0,13.0
601,11.0,7.0
602,15.0,3.0
603,6.0,7.0
604,11.0,8.0
605,12.0,9.0
606,17.0,8.0
607,9.0,8.0
608,12.0,6.0
609,13.0,6.0
610,10.0,7.0
611,13.0,4.0
612,7.0,9.0
613,7.0,9.0
614,9.0,6.0
615,9.0,4.0
616,10.0,5.0
617,16.0,14.0
618,7.0,3.0
619,6.0,7.0
620,18.0,6.0
621,11.0,7.0
622,15.0,7.0
623,5.0,6.0
624,11.0,7.0
625,18.0,12.0
626,11.0,6.0
627,11.0,10.0
628,14.0,7.0
629,14.0,7.0
630,11.0,2.0
631,9.0,9.0
632,5.0,7.0
633,12.0,7.0
634,10.0,8.0
635,14.0,9.0
636,15.0,1.0
637,11.0,4.0
638,15.0,5.0
639,8.0,7.0
640,9.0,7.0
641,10.0,6.0
642,6.0,6.0
643,14.0,9.0
644,14.0,5.0
645,17.0,8.0
646,17.0,4.0
647,8.0,13.0
648,10.0,9.0
649,13.0,11.0
650,16.0,5.0
651,11.0,7.0
652,10.0,6.0
653,13.0,7.0
654,8.0,2.0
655,13.0,8.0
656,11.0,8.0
657,18.0,11.0
658,11.0,10.0
659,12.0,4.0
660,8.0,10.0
661,18.0,5.0
662,12.0,5.0
663,12.0,10.0
664,7.0,3.0
665,17.0,8.0
666,19.0,9.0
667,10.0,6.0
668,12.0,4.0
669,11.0,5.0
670,7.0,4.0
671,14.0,11.0
672,14.0,11.0
673,13.0,7.0
674,14.0,2.0
675,14.0,8.0
676,15.0,9.0
677,10.0,10.0
678,6.0,3.0
679,9.0,6.0
680,16.0,7.0
681,13.0,4.0
682,14.0,6.0
683,15.0,2.0
684,9.0,9.0
685,17.0,13.0
686,14.0,9.0
687,19.0,2.0
688,14.0,6.0
689,14.0,4.0
690,10.0,5.0
691,13.0,6.0
692,12.0,4.0
693,7.0,6.0
694,17.0,4.0
695,16.0,4.0
696,9.0,5.0
697,15.0,4.0
698,11.0,10.0
699,11.0,5.0
700,13.0,12.0
701,15.0,6.0
702,8.0,5.0
703,16.0,6.0
704,7.0,7.0
705,8.0,11.0
706,18.0,6.0
707,10.0,8.0
708,17.0,7.0
709,8.0,11.0
710,12.0,3.0
711,14.0,10.0
712,14.0,9.0
713,15.0,9.0
714,6.0,6.0
715,14.0,11.0
716,11.0,3.0
717,13.0,6.0
718,10.0,6.0
719,10.0,9.0
720,14.0,6.0
721,19.0,9.0
722,11.0,7.0
723,12.0,11.0
724,8.0,9.0
725,15.0,7.0
726,12.0,6.0
727,13.0,5.0
728,20.0,6.0
729,8.0,5.0
730,16.0,5.0
731,19.0,14.0
732,11.0,6.0
733,8.0,11.0
734,15.0,2.0
735,14.0,8.0
736,10.0,6.0
737,17.0,4.0
738,10.0,7.0
739,10.0,6.0
740,14.0,13.0
741,9.0,9.0
742,12.0,6.0
743,8.0,6.0
744,9.0,3.0
745,4.0,8.0
746,13.0,10.0
747,13.0,10.0
748,10.0,12.0
749,11.0,4.0
750,17.0,11.0
751,11.0,3.0
752,11.0,5.0
753,13.0,10.0
754,12.0,4.0
755,10.0,6.0
756,18.0,6.0
757,10.0,8.0
758,16.0,7.0
759,5.0,8.0
760,20.0,6.0
761,9.0,8.0
762,6.0,3.0
763,15.0,6.0
764,8.0,10.0
765,10.0,6.0
766,12.0,7.0
767,11.0,6.0
768,16.0,4.0
769,8.0,6.0
770,12.0,3.0
771,10.0,7.0
772,12.0,4.0
773,4.0,5.0
774,13.0,7.0
775,13.0,5.0
776,11.0,8.0
777,12.0,7.0
778,8.0,5.0
779,13.0,9.0
780,14.0,6.0
781,18.0,5.0
782,15.0,9.0
783,10.0,11.0
784,10.0,7.0
785,15.0,14.0
786,19.0,9.0
787,7.0,5.0
788,9.0,13.0
789,7.0,6.0
790,4.0,10.0
791,11.0,2.0
792,14.0,4.0
793,9.0,6.0
794,11.0,1.0
795,8.0,7.0
796,16.0,10.0
797,13.0,8.0
798,14.0,4.0
799,11.0,7.0
800,16.0,5.0
801,11.0,12.0
802,7.0,8.0
803,9.0,7.0
804,6.0,5.0
805,14.0,5.0
806,12.0,11.0
807,16.0,6.0
808,10.0,8.0
809,7.0,6.0
810,13.0,6.0
811,12.0,4.0
812,9.0,10.0
813,16.0,7.0
814,12.0,9.0
815,9.0,6.0
816,9.0,7.0
817,10.0,8.0
818,4.0,8.0
819,13.0,5.0
820,7.0,8.0
821,8.0,6.0
822,8.0,7.0
823,8.0,7.0
824,21.0,7.0
825,10.0,3.0
826,11.0,7.0
827,19.0,10.0
828,11.0,8.0
829,10.0,7.0
830,7.0,9.0
831,16.0,7.0
832,10.0,5.0
833,14.0,10.0
834,10.0,8.0
835,16.0,6.0
836,14.0,5.0
837,10.0,7.0
838,11.0,8.0
839,10.0,2.0
840,5.0,8.0
841,8.0,5.0
842,9.0,8.0
843,14.0,10.0
844,8.0,8.0
845,16.0,9.0
846,15.0,9.0
847,5.0,8.0
848,18.0,11.0
849,11.0,3.0
850,14.0,6.0
851,17.0,8.0
852,11.0,10.0
853,6.0,4.0
854,11.0,4.0
855,7.0,8.0
856,12.0,6.0
857,6.0,8.0
858,18.0,8.0
859,11.0,6.0
860,12.0,5.0
861,13.0,7.0
862,7.0,7.0
863,16.0,6.0
864,13.0,6.0
865,13.0,5.0
866,12.0,7.0
867,16.0,10.0
868,18.0,5.0
869,11.0,9.0
870,13.0,5.0
871,9.0,7.0
872,15.0,8.0
873,13.0,8.0
874,12.0,11.0
875,12.0,5.0
876,11.0,6.0
877,4.0,7.0
878,9.0,5.0
879,17.0,5.0
880,7.0,11.0
881,6.0,9.0
882,13.0,6.0
883,17.0,4.0
884,11.0,3.0
885,9.0,12.0
886,11.0,5.0
887,13.0,8.0
888,9.0,6.0
889,12.0,9.0
890,11.0,7.0
891,10.0,5.0
892,10.0,4.0
893,15.0,9.0
894,14.0,7.0
895,14.0,5.0
896,17.0,5.0
897,16.0,11.0
898,10.0,8.0
899,9.0,9.0
900,14.0,1.0
901,17.0,5.0
902,6.0,4.0
903,16.0,10.0
904,20.0,8.0
905,5.0,10.0
906,9.0,15.0
907,16.0,7.0
908,11.0,5.0
909,13.0,5.0
910,13.0,7.0
911,11.0,9.0
912,7.0,8.0
913,15.0,7.0
914,15.0,8.0
915,12.0,12.0
916,10.0,9.0
917,15.0,9.0
918,18.0,9.0
919,15.0,10.0
920,11.0,5.0
921,13.0,11.0
922,19.0,6.0
923,10.0,11.0
924,16.0,8.0
925,16.0,11.0
926,15.0,14.0
927,16.0,16.0
928,11.0,5.0
929,17.0,7.0
930,15.0,14.0
931,16.0,7.0
932,19.0,11.0
933,14.0,5.0
934,8.0,8.0
935,13.0,5.0
936,23.0,11.0
937,11.0,9.0
938,13.0,6.0
939,18.0,16.0
940,19.0,8.0
941,10.0,20.0
942,12.0,15.0
943,18.0,11.0
944,11.0,9.0
945,6.0,11.0
946,12.0,9.0
947,12.0,9.0
948,16.0,9.0
949,19.0,8.0
950,16.0,13.0
951,19.0,14.0
952,12.0,9.0
953,11.0,6.0
954,21.0,8.0
955,17.0,11.0
956,13.0,7.0
957,16.0,10.0
958,17.0,7.0
959,12.0,7.0
960,16.0,5.0
961,12.0,11.0
962,16.0,4.0
963,25.0,11.0
964,19.0,5.0
965,21.0,5.0
966,16.0,4.0
967,21.0,9.0
968,16.0,8.0
969,14.0,11.0
970,15.0,5.0
971,16.0,8.0
972,15.0,9.0
973,15.0,6.0
974,22.0,7.0
975,11.0,7.0
976,18.0,10.0
977,16.0,7.0
978,12.0,9.0
979,17.0,7.0
980,17.0,9.0
981,18.0,9.0
982,12.0,7.0
983,12.0,11.0
984,13.0,9.0
985,19.0,5.0
986,16.0,4.0
987,16.0,6.0
988,13.0,16.0
989,12.0,6.0
990,15.0,8.0
991,17.0,14.0
992,16.0,4.0
993,18.0,7.0
994,17.0,8.0
995,20.0,11.0
996,13.0,8.0
997,13.0,10.0
998,18.0,7.0
999,16.0,8.0
