,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown
392,4.0,2.0,48.0
393,4.0,2.0,48.0
394,10.0,5.0,57.0
395,10.0,5.0,57.0
396,10.0,6.0,66.0
397,10.0,6.0,66.0
398,4.0,4.0,60.0
399,4.0,4.0,60.0
400,3.0,1.0,50.0
401,3.0,1.0,50.0
402,3.0,3.0,89.0
403,3.0,3.0,89.0
404,2.0,5.0,115.0
405,2.0,5.0,115.0
406,2.0,8.0,91.0
407,2.0,8.0,91.0
408,12.0,17.0,94.0
409,12.0,17.0,94.0
410,7.0,22.0,75.0
411,7.0,22.0,75.0
412,11.0,23.0,82.0
413,11.0,23.0,82.0
414,13.0,0.0,127.0
415,13.0,0.0,127.0
416,12.0,2.0,124.0
417,12.0,2.0,124.0
418,16.0,6.0,115.0
419,16.0,6.0,115.0
420,19.0,6.0,110.0
421,19.0,6.0,110.0
422,21.0,7.0,97.0
423,21.0,7.0,97.0
424,21.0,8.0,98.0
425,21.0,8.0,98.0
426,17.0,9.0,123.0
427,17.0,9.0,123.0
428,13.0,11.0,119.0
429,13.0,11.0,119.0
430,13.0,11.0,119.0
431,9.0,19.0,116.0
432,13.0,20.0,112.0
433,13.0,20.0,112.0
434,11.0,14.0,43.0
435,11.0,14.0,43.0
436,8.0,7.0,51.0
437,8.0,7.0,51.0
438,9.0,16.0,66.0
439,9.0,16.0,66.0
440,8.0,21.0,45.0
441,8.0,21.0,45.0
442,9.0,0.0,41.0
443,9.0,0.0,41.0
444,8.0,0.0,54.0
445,8.0,0.0,54.0
446,7.0,0.0,61.0
447,7.0,0.0,61.0
448,8.0,11.0,56.0
449,8.0,11.0,56.0
450,6.0,11.0,30.0
451,6.0,11.0,30.0
452,0.0,9.0,21.0
453,0.0,9.0,21.0
454,0.0,9.0,28.0
455,0.0,9.0,28.0
456,0.0,0.0,29.0
457,0.0,0.0,29.0
458,0.0,0.0,29.0
459,0.0,0.0,29.0
460,0.0,11.0,44.0
461,0.0,11.0,44.0
462,6.0,11.0,26.0
463,6.0,11.0,26.0
464,6.0,0.0,13.0
465,6.0,0.0,13.0
466,9.0,1.0,26.0
467,9.0,1.0,26.0
468,3.0,7.0,26.0
469,3.0,7.0,26.0
470,3.0,7.0,20.0
471,3.0,7.0,20.0
472,3.0,11.0,25.0
473,3.0,11.0,25.0
474,1.0,19.0,26.0
475,1.0,19.0,26.0
476,3.0,25.0,24.0
477,3.0,25.0,24.0
478,9.0,1.0,24.0
479,9.0,1.0,24.0
480,10.0,1.0,27.0
481,10.0,1.0,27.0
482,12.0,2.0,33.0
483,12.0,2.0,33.0
484,8.0,2.0,30.0
485,8.0,2.0,30.0
486,10.0,7.0,27.0
487,10.0,7.0,27.0
488,16.0,8.0,25.0
489,16.0,8.0,25.0
490,4.0,8.0,27.0
491,4.0,8.0,27.0
492,5.0,6.0,30.0
493,5.0,6.0,30.0
494,6.0,5.0,36.0
495,6.0,5.0,36.0
496,0.0,10.0,43.0
497,0.0,10.0,43.0
498,7.0,17.0,34.0
499,7.0,17.0,34.0
500,7.0,13.0,27.0
501,7.0,13.0,27.0
502,6.0,12.0,39.0
503,6.0,12.0,39.0
504,11.0,7.0,55.0
505,11.0,7.0,55.0
506,10.0,7.0,52.0
507,10.0,7.0,52.0
508,7.0,12.0,44.0
509,7.0,12.0,44.0
510,8.0,10.0,53.0
511,8.0,10.0,53.0
512,6.0,7.0,44.0
513,6.0,7.0,44.0
514,11.0,5.0,28.0
515,11.0,5.0,28.0
516,28.0,7.0,21.0
517,28.0,7.0,21.0
518,14.0,5.0,25.0
519,14.0,5.0,25.0
520,7.0,4.0,30.0
521,7.0,4.0,30.0
522,9.0,7.0,33.0
523,9.0,7.0,33.0
524,13.0,9.0,30.0
525,13.0,9.0,30.0
526,21.0,6.0,24.0
527,21.0,6.0,24.0
528,15.0,7.0,28.0
529,15.0,7.0,28.0
530,9.0,10.0,40.0
531,9.0,10.0,40.0
532,10.0,9.0,42.0
533,10.0,9.0,42.0
534,13.0,9.0,57.0
535,13.0,9.0,57.0
536,13.0,0.0,57.0
537,13.0,0.0,57.0
538,0.0,2.0,46.0
539,0.0,2.0,46.0
540,0.0,2.0,43.0
541,0.0,2.0,43.0
542,0.0,0.0,68.0
543,0.0,0.0,68.0
544,0.0,0.0,51.0
545,0.0,0.0,51.0
546,0.0,0.0,40.0
547,0.0,0.0,40.0
548,0.0,0.0,33.0
549,0.0,0.0,33.0
550,0.0,0.0,51.0
551,0.0,0.0,51.0
552,0.0,0.0,24.0
553,0.0,0.0,24.0
554,1.0,4.0,30.0
555,1.0,4.0,30.0
556,1.0,4.0,40.0
557,1.0,4.0,40.0
558,5.0,11.0,54.0
559,5.0,11.0,54.0
560,18.0,14.0,58.0
561,18.0,14.0,58.0
562,18.0,17.0,71.0
563,18.0,17.0,71.0
564,0.0,14.0,52.0
565,0.0,14.0,52.0
566,6.0,13.0,48.0
567,6.0,13.0,48.0
568,5.0,13.0,36.0
569,5.0,13.0,36.0
570,16.0,9.0,44.0
571,16.0,9.0,44.0
572,28.0,9.0,45.0
573,28.0,9.0,45.0
574,32.0,10.0,60.0
575,32.0,10.0,60.0
576,29.0,0.0,78.0
577,29.0,0.0,78.0
578,22.0,1.0,80.0
579,22.0,1.0,80.0
580,11.0,7.0,101.0
581,11.0,7.0,101.0
582,12.0,7.0,87.0
583,12.0,7.0,87.0
584,17.0,5.0,89.0
585,17.0,5.0,89.0
586,24.0,8.0,115.0
587,24.0,8.0,115.0
588,33.0,15.0,139.0
589,33.0,15.0,139.0
590,29.0,22.0,177.0
591,29.0,22.0,177.0
592,15.0,26.0,200.0
593,15.0,26.0,200.0
594,5.0,25.0,185.0
595,5.0,25.0,185.0
596,5.0,31.0,215.0
597,5.0,31.0,215.0
598,10.0,44.0,231.0
599,10.0,44.0,231.0
600,13.0,34.0,181.0
601,13.0,34.0,181.0
602,13.0,11.0,200.0
603,13.0,11.0,200.0
604,11.0,21.0,208.0
605,11.0,21.0,208.0
606,7.0,43.0,270.0
607,7.0,43.0,270.0
608,8.0,56.0,342.0
609,8.0,56.0,342.0
610,14.0,63.0,252.0
611,14.0,63.0,252.0
612,11.0,89.0,235.0
613,11.0,89.0,235.0
614,5.0,93.0,269.0
615,5.0,93.0,269.0
616,9.0,132.0,247.0
617,9.0,132.0,247.0
618,12.0,177.0,240.0
619,12.0,177.0,240.0
620,13.0,153.0,165.0
621,13.0,153.0,165.0
622,10.0,151.0,109.0
623,10.0,151.0,109.0
624,12.0,156.0,107.0
625,12.0,156.0,107.0
626,14.0,153.0,97.0
627,14.0,153.0,97.0
628,8.0,159.0,101.0
629,8.0,159.0,101.0
630,8.0,135.0,122.0
631,8.0,135.0,122.0
632,22.0,35.0,98.0
633,22.0,35.0,98.0
634,41.0,30.0,118.0
635,41.0,30.0,118.0
636,52.0,7.0,40.0
637,52.0,7.0,40.0
638,57.0,4.0,40.0
639,57.0,4.0,40.0
640,9.0,0.0,30.0
641,9.0,0.0,30.0
642,15.0,0.0,26.0
643,15.0,0.0,26.0
644,27.0,3.0,18.0
645,27.0,3.0,18.0
646,27.0,3.0,20.0
647,27.0,3.0,20.0
648,11.0,0.0,27.0
649,11.0,0.0,27.0
650,11.0,0.0,41.0
651,11.0,0.0,41.0
652,0.0,13.0,41.0
653,0.0,13.0,41.0
654,0.0,26.0,41.0
655,0.0,26.0,41.0
656,0.0,32.0,44.0
657,0.0,32.0,44.0
