,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
621,22.0,41.0
622,20.0,49.0
623,33.0,67.0
624,30.0,57.0
625,33.0,51.0
626,13.0,52.0
627,23.0,52.0
628,30.0,38.0
629,21.0,45.0
630,21.0,49.0
631,20.0,47.0
632,21.0,42.0
633,15.0,64.0
634,14.0,52.0
635,18.0,42.0
636,20.0,49.0
637,17.0,65.0
638,22.0,50.0
639,22.0,48.0
640,25.0,55.0
641,29.0,57.0
642,22.0,37.0
643,27.0,62.0
644,23.0,47.0
645,18.0,42.0
646,25.0,49.0
647,24.0,48.0
648,27.0,55.0
649,13.0,51.0
650,26.0,53.0
651,15.0,32.0
652,24.0,47.0
653,15.0,64.0
654,25.0,37.0
655,24.0,53.0
656,20.0,62.0
657,20.0,45.0
658,21.0,55.0
659,18.0,51.0
660,14.0,46.0
661,19.0,39.0
662,22.0,56.0
663,23.0,54.0
664,21.0,50.0
665,19.0,66.0
666,16.0,57.0
667,18.0,40.0
668,13.0,46.0
669,25.0,51.0
670,16.0,65.0
671,18.0,47.0
672,24.0,50.0
673,24.0,46.0
674,21.0,57.0
675,16.0,48.0
676,31.0,59.0
677,20.0,42.0
678,25.0,42.0
679,18.0,60.0
680,21.0,30.0
681,25.0,34.0
682,16.0,52.0
683,20.0,52.0
684,23.0,33.0
685,14.0,58.0
686,23.0,38.0
687,20.0,39.0
688,16.0,48.0
689,24.0,50.0
690,23.0,50.0
691,28.0,48.0
692,21.0,54.0
693,25.0,40.0
694,22.0,50.0
695,19.0,38.0
696,18.0,31.0
697,13.0,37.0
698,18.0,61.0
699,24.0,58.0
700,15.0,49.0
701,27.0,55.0
702,28.0,52.0
703,13.0,48.0
704,16.0,41.0
705,21.0,58.0
706,25.0,49.0
707,30.0,45.0
708,21.0,48.0
709,23.0,52.0
710,23.0,45.0
711,21.0,38.0
712,23.0,73.0
713,16.0,57.0
714,20.0,63.0
715,29.0,61.0
716,32.0,63.0
717,27.0,50.0
718,25.0,61.0
719,20.0,42.0
720,21.0,55.0
721,26.0,58.0
722,18.0,54.0
723,18.0,51.0
724,15.0,71.0
725,23.0,58.0
726,21.0,52.0
727,27.0,53.0
728,22.0,49.0
729,18.0,61.0
730,18.0,55.0
731,21.0,59.0
732,17.0,53.0
733,24.0,49.0
734,32.0,44.0
735,19.0,59.0
736,20.0,59.0
737,27.0,45.0
738,21.0,53.0
739,34.0,59.0
740,20.0,68.0
741,21.0,51.0
742,22.0,55.0
743,23.0,57.0
744,26.0,39.0
745,28.0,56.0
746,20.0,49.0
747,25.0,46.0
748,21.0,50.0
749,16.0,78.0
750,21.0,47.0
751,18.0,47.0
752,20.0,46.0
753,23.0,50.0
754,17.0,55.0
755,13.0,51.0
756,18.0,53.0
757,31.0,66.0
758,14.0,46.0
759,11.0,46.0
760,21.0,47.0
761,29.0,58.0
762,22.0,34.0
763,16.0,41.0
764,19.0,56.0
765,19.0,59.0
766,18.0,70.0
767,24.0,49.0
768,25.0,59.0
769,11.0,57.0
770,22.0,41.0
771,20.0,33.0
772,24.0,52.0
773,15.0,56.0
774,17.0,56.0
775,14.0,62.0
776,20.0,44.0
777,20.0,38.0
778,13.0,45.0
779,20.0,51.0
780,19.0,46.0
781,27.0,44.0
782,14.0,58.0
783,25.0,42.0
784,24.0,42.0
785,14.0,47.0
786,20.0,43.0
787,14.0,54.0
788,26.0,44.0
789,29.0,57.0
790,18.0,37.0
791,13.0,52.0
792,18.0,41.0
793,25.0,45.0
794,24.0,54.0
795,19.0,42.0
796,22.0,53.0
797,23.0,60.0
798,16.0,46.0
799,23.0,50.0
800,17.0,55.0
801,20.0,59.0
802,16.0,38.0
803,19.0,42.0
804,15.0,48.0
805,16.0,43.0
806,16.0,55.0
807,16.0,46.0
808,24.0,45.0
809,20.0,33.0
810,18.0,40.0
811,16.0,48.0
812,14.0,45.0
813,19.0,44.0
814,19.0,41.0
815,22.0,50.0
816,12.0,41.0
817,19.0,52.0
818,11.0,44.0
819,13.0,34.0
820,16.0,36.0
821,16.0,47.0
822,22.0,60.0
823,15.0,34.0
824,17.0,47.0
825,26.0,49.0
826,19.0,37.0
827,22.0,40.0
828,16.0,40.0
829,21.0,49.0
830,22.0,50.0
831,21.0,43.0
832,15.0,49.0
833,18.0,47.0
834,10.0,43.0
835,18.0,58.0
836,14.0,38.0
837,28.0,48.0
838,13.0,58.0
839,18.0,50.0
840,20.0,42.0
841,15.0,34.0
842,18.0,53.0
843,19.0,39.0
844,21.0,48.0
845,17.0,59.0
846,22.0,46.0
847,21.0,47.0
848,19.0,48.0
849,26.0,53.0
850,16.0,40.0
851,17.0,52.0
852,16.0,41.0
853,21.0,34.0
854,21.0,33.0
855,15.0,46.0
856,16.0,52.0
857,15.0,48.0
858,27.0,43.0
859,23.0,45.0
860,15.0,38.0
861,17.0,46.0
862,16.0,48.0
863,14.0,50.0
864,21.0,61.0
865,22.0,33.0
866,21.0,49.0
867,19.0,48.0
868,22.0,48.0
869,14.0,52.0
870,16.0,50.0
871,17.0,42.0
872,19.0,49.0
873,6.0,33.0
874,23.0,49.0
875,23.0,48.0
876,21.0,31.0
877,24.0,43.0
878,15.0,46.0
879,17.0,47.0
880,17.0,34.0
881,16.0,27.0
882,18.0,42.0
883,24.0,40.0
884,24.0,43.0
885,12.0,51.0
886,26.0,52.0
887,16.0,47.0
888,12.0,42.0
889,19.0,41.0
890,18.0,45.0
891,16.0,39.0
892,19.0,36.0
