,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
304,13.0,12.0,12.0,13.0
305,13.0,12.0,12.0,13.0
306,13.0,14.0,12.0,16.0
307,15.0,12.0,12.0,14.0
308,14.0,12.0,12.0,13.0
309,15.0,12.0,14.0,13.0
310,15.0,12.0,14.0,14.0
311,15.0,12.0,14.0,14.0
312,15.0,13.0,13.0,14.0
313,15.0,13.0,13.0,14.0
314,14.0,13.0,14.0,14.0
315,15.0,13.0,14.0,15.0
316,15.0,13.0,14.0,15.0
317,15.0,13.0,14.0,15.0
318,16.0,13.0,14.0,15.0
319,16.0,13.0,14.0,15.0
320,16.0,14.0,14.0,15.0
321,16.0,14.0,15.0,15.0
322,16.0,18.0,16.0,19.0
323,15.0,15.0,16.0,15.0
324,17.0,14.0,16.0,16.0
325,21.0,14.0,18.0,16.0
326,22.0,15.0,19.0,17.0
327,23.0,14.0,20.0,17.0
328,19.0,14.0,17.0,17.0
329,19.0,14.0,17.0,17.0
330,19.0,14.0,17.0,16.0
331,19.0,15.0,18.0,16.0
332,16.0,15.0,15.0,16.0
333,16.0,15.0,15.0,17.0
334,16.0,15.0,15.0,16.0
335,16.0,15.0,14.0,17.0
336,16.0,17.0,15.0,19.0
337,16.0,15.0,15.0,16.0
338,17.0,15.0,15.0,17.0
339,17.0,15.0,16.0,17.0
340,17.0,15.0,15.0,17.0
341,17.0,15.0,15.0,17.0
342,17.0,15.0,16.0,17.0
343,17.0,16.0,17.0,17.0
344,17.0,16.0,17.0,17.0
345,18.0,16.0,17.0,16.0
346,16.0,15.0,15.0,16.0
347,16.0,15.0,15.0,16.0
348,16.0,15.0,15.0,16.0
349,16.0,15.0,15.0,16.0
350,16.0,15.0,15.0,15.0
351,15.0,16.0,15.0,16.0
352,15.0,15.0,15.0,16.0
353,15.0,15.0,15.0,16.0
354,16.0,15.0,15.0,16.0
355,16.0,15.0,15.0,16.0
356,17.0,15.0,16.0,17.0
357,17.0,15.0,15.0,17.0
358,17.0,15.0,15.0,16.0
359,16.0,15.0,15.0,16.0
360,17.0,14.0,15.0,16.0
361,17.0,15.0,16.0,16.0
362,16.0,14.0,15.0,16.0
363,15.0,14.0,14.0,16.0
364,14.0,15.0,13.0,16.0
365,14.0,14.0,13.0,16.0
366,15.0,14.0,14.0,16.0
367,15.0,14.0,14.0,15.0
368,14.0,14.0,13.0,15.0
369,14.0,14.0,14.0,15.0
370,15.0,15.0,14.0,15.0
371,15.0,14.0,14.0,15.0
372,15.0,14.0,14.0,15.0
373,15.0,14.0,14.0,15.0
374,15.0,14.0,15.0,15.0
375,14.0,13.0,13.0,14.0
376,14.0,14.0,13.0,15.0
377,14.0,14.0,14.0,15.0
378,14.0,15.0,13.0,16.0
379,14.0,16.0,13.0,17.0
380,14.0,16.0,13.0,17.0
381,15.0,15.0,14.0,16.0
382,15.0,14.0,14.0,15.0
383,15.0,14.0,14.0,15.0
384,14.0,13.0,13.0,14.0
385,14.0,13.0,13.0,14.0
386,14.0,13.0,13.0,14.0
387,14.0,12.0,12.0,14.0
388,14.0,12.0,12.0,14.0
389,14.0,13.0,13.0,14.0
390,14.0,13.0,13.0,14.0
391,14.0,13.0,13.0,14.0
392,13.0,13.0,12.0,13.0
393,13.0,13.0,12.0,14.0
394,13.0,13.0,12.0,14.0
395,14.0,13.0,12.0,14.0
396,14.0,12.0,12.0,13.0
397,14.0,12.0,12.0,13.0
398,13.0,12.0,12.0,13.0
399,13.0,12.0,12.0,13.0
400,13.0,12.0,12.0,13.0
401,13.0,13.0,12.0,13.0
402,13.0,12.0,12.0,13.0
403,13.0,13.0,12.0,13.0
404,13.0,12.0,13.0,13.0
405,13.0,12.0,12.0,13.0
406,13.0,12.0,12.0,12.0
407,13.0,12.0,12.0,13.0
408,12.0,11.0,11.0,12.0
409,13.0,12.0,12.0,13.0
410,13.0,12.0,12.0,13.0
411,13.0,14.0,14.0,13.0
412,13.0,13.0,12.0,13.0
413,13.0,13.0,12.0,14.0
414,13.0,13.0,12.0,14.0
415,13.0,13.0,12.0,14.0
416,13.0,12.0,12.0,13.0
417,13.0,12.0,12.0,12.0
418,12.0,12.0,12.0,12.0
419,13.0,12.0,12.0,13.0
420,13.0,12.0,12.0,13.0
421,13.0,12.0,12.0,13.0
422,12.0,12.0,12.0,13.0
423,12.0,12.0,11.0,13.0
424,12.0,11.0,11.0,12.0
425,13.0,11.0,12.0,12.0
426,12.0,12.0,12.0,13.0
427,12.0,12.0,11.0,13.0
428,12.0,11.0,11.0,12.0
429,13.0,12.0,13.0,12.0
430,13.0,12.0,12.0,12.0
431,13.0,12.0,13.0,12.0
432,12.0,11.0,12.0,12.0
433,13.0,12.0,12.0,13.0
434,13.0,12.0,12.0,13.0
435,13.0,12.0,12.0,13.0
436,13.0,12.0,12.0,12.0
437,13.0,12.0,12.0,12.0
438,12.0,11.0,12.0,12.0
439,13.0,12.0,12.0,12.0
440,12.0,12.0,12.0,12.0
441,13.0,11.0,12.0,12.0
442,12.0,12.0,12.0,13.0
443,12.0,12.0,11.0,13.0
444,12.0,12.0,12.0,12.0
445,12.0,12.0,12.0,12.0
446,13.0,12.0,12.0,13.0
447,13.0,11.0,11.0,13.0
448,12.0,12.0,11.0,13.0
449,12.0,12.0,12.0,12.0
450,12.0,12.0,12.0,13.0
451,12.0,12.0,11.0,13.0
452,12.0,12.0,12.0,13.0
453,13.0,12.0,12.0,13.0
454,13.0,11.0,12.0,13.0
455,13.0,12.0,12.0,13.0
456,13.0,13.0,12.0,13.0
457,13.0,13.0,12.0,13.0
458,13.0,13.0,13.0,13.0
459,12.0,12.0,13.0,12.0
460,13.0,12.0,12.0,13.0
461,13.0,12.0,12.0,13.0
462,13.0,12.0,12.0,13.0
463,13.0,12.0,12.0,12.0
464,13.0,12.0,12.0,12.0
465,13.0,12.0,12.0,12.0
466,13.0,12.0,12.0,12.0
467,13.0,12.0,12.0,13.0
468,12.0,12.0,12.0,13.0
469,12.0,12.0,12.0,13.0
470,12.0,12.0,12.0,13.0
471,13.0,12.0,12.0,13.0
472,13.0,13.0,12.0,13.0
473,13.0,13.0,13.0,13.0
474,13.0,14.0,13.0,14.0
475,13.0,13.0,12.0,14.0
476,13.0,12.0,12.0,13.0
477,13.0,12.0,12.0,13.0
478,13.0,12.0,12.0,13.0
479,13.0,11.0,12.0,12.0
480,13.0,12.0,12.0,12.0
481,12.0,12.0,12.0,13.0
482,13.0,12.0,12.0,13.0
483,13.0,12.0,12.0,13.0
484,14.0,13.0,12.0,13.0
485,13.0,13.0,12.0,14.0
486,12.0,13.0,12.0,13.0
487,12.0,12.0,11.0,13.0
488,12.0,12.0,12.0,13.0
489,12.0,13.0,12.0,13.0
490,13.0,13.0,12.0,14.0
491,12.0,12.0,12.0,13.0
492,13.0,13.0,12.0,13.0
493,13.0,13.0,12.0,13.0
494,13.0,13.0,12.0,13.0
495,12.0,13.0,12.0,13.0
496,12.0,12.0,12.0,12.0
497,12.0,12.0,12.0,13.0
498,13.0,12.0,12.0,13.0
499,13.0,12.0,12.0,13.0
500,12.0,12.0,11.0,13.0
501,12.0,12.0,11.0,13.0
502,12.0,12.0,11.0,13.0
503,12.0,12.0,12.0,13.0
504,13.0,13.0,12.0,13.0
505,13.0,12.0,12.0,13.0
506,13.0,12.0,12.0,13.0
507,13.0,13.0,12.0,13.0
508,12.0,13.0,12.0,13.0
509,12.0,12.0,12.0,13.0
