,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
414,18.0,195.0,20.0
415,22.0,236.0,19.0
416,22.0,236.0,19.0
417,19.0,277.0,22.0
418,19.0,277.0,22.0
419,18.0,343.0,27.0
420,18.0,343.0,27.0
421,30.0,266.0,55.0
422,30.0,266.0,55.0
423,29.0,233.0,59.0
424,29.0,233.0,59.0
425,24.0,155.0,37.0
426,24.0,155.0,37.0
427,11.0,172.0,34.0
428,11.0,172.0,34.0
429,11.0,189.0,46.0
430,11.0,189.0,46.0
431,14.0,190.0,27.0
432,14.0,190.0,27.0
433,11.0,226.0,27.0
434,11.0,226.0,27.0
435,13.0,237.0,7.0
436,13.0,237.0,7.0
437,18.0,277.0,10.0
438,18.0,277.0,10.0
439,0.0,278.0,12.0
440,0.0,278.0,12.0
441,0.0,224.0,22.0
442,0.0,224.0,22.0
443,0.0,241.0,38.0
444,0.0,241.0,38.0
445,0.0,309.0,39.0
446,0.0,309.0,39.0
447,0.0,316.0,40.0
448,0.0,316.0,40.0
449,0.0,288.0,35.0
450,0.0,288.0,35.0
451,0.0,488.0,32.0
452,0.0,488.0,32.0
453,0.0,248.0,21.0
454,0.0,248.0,21.0
455,0.0,262.0,26.0
456,0.0,262.0,26.0
457,0.0,348.0,21.0
458,0.0,348.0,21.0
459,0.0,203.0,17.0
460,0.0,203.0,17.0
461,0.0,171.0,19.0
462,0.0,171.0,19.0
463,6.0,191.0,5.0
464,6.0,191.0,5.0
465,17.0,170.0,5.0
466,17.0,170.0,5.0
467,17.0,284.0,11.0
468,17.0,284.0,11.0
469,9.0,275.0,3.0
470,9.0,275.0,3.0
471,12.0,282.0,8.0
472,12.0,282.0,8.0
473,12.0,292.0,8.0
474,12.0,292.0,8.0
475,13.0,180.0,20.0
476,13.0,180.0,20.0
477,19.0,258.0,35.0
478,19.0,258.0,35.0
479,20.0,194.0,39.0
480,20.0,194.0,39.0
481,19.0,126.0,28.0
482,19.0,126.0,28.0
483,10.0,119.0,21.0
484,10.0,119.0,21.0
485,9.0,130.0,33.0
486,9.0,130.0,33.0
487,13.0,142.0,36.0
488,13.0,142.0,36.0
489,14.0,127.0,39.0
490,14.0,127.0,39.0
491,12.0,187.0,44.0
492,12.0,187.0,44.0
493,8.0,202.0,43.0
494,8.0,202.0,43.0
495,8.0,170.0,14.0
496,8.0,170.0,14.0
497,1.0,182.0,13.0
498,1.0,182.0,13.0
499,9.0,168.0,13.0
500,9.0,168.0,13.0
501,6.0,196.0,17.0
502,6.0,196.0,17.0
503,6.0,196.0,17.0
504,7.0,256.0,17.0
505,10.0,410.0,20.0
506,10.0,410.0,20.0
507,10.0,410.0,20.0
508,5.0,270.0,35.0
509,5.0,196.0,45.0
510,5.0,196.0,45.0
511,10.0,195.0,47.0
512,10.0,195.0,47.0
513,11.0,293.0,37.0
514,11.0,293.0,37.0
515,8.0,448.0,23.0
516,8.0,448.0,23.0
517,5.0,352.0,13.0
518,5.0,352.0,13.0
519,0.0,246.0,15.0
520,0.0,246.0,15.0
521,0.0,216.0,16.0
522,0.0,216.0,16.0
523,3.0,280.0,19.0
524,3.0,280.0,19.0
525,6.0,341.0,20.0
526,6.0,341.0,20.0
527,4.0,397.0,9.0
528,4.0,397.0,9.0
529,9.0,423.0,12.0
530,9.0,423.0,12.0
531,48.0,338.0,21.0
532,48.0,338.0,21.0
533,48.0,330.0,26.0
534,48.0,330.0,26.0
535,0.0,547.0,15.0
536,0.0,547.0,15.0
537,5.0,559.0,15.0
538,5.0,559.0,15.0
539,5.0,573.0,0.0
540,5.0,573.0,0.0
541,18.0,573.0,6.0
542,18.0,573.0,6.0
543,15.0,725.0,16.0
544,15.0,725.0,16.0
545,12.0,982.0,16.0
546,12.0,982.0,16.0
547,0.0,618.0,25.0
548,0.0,618.0,25.0
549,0.0,636.0,25.0
550,0.0,636.0,25.0
551,0.0,1064.0,24.0
552,0.0,1064.0,24.0
553,0.0,829.0,21.0
554,0.0,829.0,21.0
555,0.0,555.0,21.0
556,0.0,555.0,21.0
557,19.0,560.0,0.0
558,19.0,560.0,0.0
559,22.0,848.0,0.0
560,22.0,848.0,0.0
561,22.0,863.0,2.0
562,22.0,863.0,2.0
563,0.0,872.0,10.0
564,0.0,872.0,10.0
565,11.0,516.0,23.0
566,11.0,516.0,23.0
567,10.0,411.0,41.0
568,10.0,411.0,41.0
569,10.0,347.0,41.0
570,10.0,347.0,41.0
571,10.0,425.0,43.0
572,10.0,425.0,43.0
573,11.0,429.0,45.0
574,11.0,429.0,45.0
575,12.0,397.0,33.0
576,12.0,397.0,33.0
577,9.0,338.0,31.0
578,9.0,338.0,31.0
579,5.0,410.0,15.0
580,5.0,410.0,15.0
581,6.0,518.0,9.0
582,6.0,518.0,9.0
583,7.0,829.0,19.0
584,7.0,829.0,19.0
585,9.0,607.0,19.0
586,9.0,607.0,19.0
587,10.0,487.0,24.0
588,10.0,487.0,24.0
589,12.0,349.0,26.0
590,12.0,349.0,26.0
591,10.0,285.0,20.0
592,10.0,285.0,20.0
593,10.0,415.0,23.0
594,10.0,415.0,23.0
595,12.0,557.0,26.0
596,12.0,557.0,26.0
597,8.0,471.0,29.0
598,8.0,471.0,29.0
599,9.0,334.0,23.0
600,9.0,334.0,23.0
601,11.0,363.0,8.0
602,11.0,363.0,8.0
603,6.0,443.0,8.0
604,6.0,443.0,8.0
605,8.0,453.0,5.0
606,8.0,453.0,5.0
607,14.0,447.0,5.0
608,14.0,447.0,5.0
609,15.0,517.0,5.0
610,15.0,517.0,5.0
611,16.0,783.0,5.0
612,16.0,783.0,5.0
613,9.0,893.0,9.0
614,9.0,893.0,9.0
615,8.0,675.0,10.0
616,8.0,675.0,10.0
617,10.0,554.0,17.0
618,10.0,554.0,17.0
619,15.0,609.0,19.0
620,15.0,609.0,19.0
621,10.0,775.0,12.0
622,10.0,775.0,12.0
623,12.0,794.0,0.0
624,12.0,794.0,0.0
625,21.0,807.0,0.0
626,21.0,807.0,0.0
627,50.0,722.0,1.0
628,50.0,722.0,1.0
629,93.0,829.0,1.0
630,93.0,829.0,1.0
631,2.0,1145.0,3.0
632,2.0,1145.0,3.0
633,5.0,829.0,3.0
634,5.0,829.0,3.0
635,5.0,1145.0,0.0
636,5.0,1145.0,0.0
637,0.0,1907.0,0.0
638,0.0,1907.0,0.0
639,0.0,1448.0,2.0
640,0.0,1448.0,2.0
641,12.0,1935.0,2.0
642,12.0,1935.0,2.0
643,12.0,1954.0,4.0
644,12.0,1954.0,4.0
645,0.0,1197.0,13.0
646,0.0,1197.0,13.0
647,0.0,871.0,13.0
648,0.0,871.0,13.0
649,6.0,883.0,0.0
